Date,Open,High,Low,Close,Volume
1984-09-07,0.4158,0.4208,0.4107,0.4158,23669718
1984-09-10,0.4158,0.4170,0.4058,0.4133,18371562
1984-09-11,0.4170,0.4283,0.4170,0.4208,43321235
